symbol,笔数,期望R,总R,最好一笔R,空头占比,去掉最好一笔后总R,最好一笔占比,历史长度,日均成交额,年化波动,全程涨跌,最大回撤,距高点,偏度,rule
1000RATSUSDT,4,-1.0085045738873568,-4.034018295549427,-1.005462207778593,0.25,-4.034018295549427,,974,16526907.611005,1.9195912947232947,-0.9101381953315526,-0.9750081018739157,-0.9262443525172999,3.3530889967163873,A 密集突破
XVSUSDT,5,-0.8158899925093277,-4.079449962546638,-0.04503853205874778,1.0,-4.079449962546638,,1220,4111885.7236,0.9432694201304147,-0.6227869788692175,-0.870940364377051,-0.8505148806155935,0.8383603299157861,A 密集突破
KAVAUSDT,8,-0.5118774911181369,-4.095019928945095,2.984820698309589,0.5,-7.079840627254684,,1322,13721311.33103,0.8324140005087265,-0.9241932475284462,-0.9659910100924434,-0.9655330336697481,-1.1719564513599137,A 密集突破
1000LUNCUSDT,10,-0.41517657549676823,-4.151765754967682,2.987481701738335,0.4,-7.139247456706017,,1322,23133002.466035,1.062389461627899,-0.6800399201596806,-0.8964554409369425,-0.8135034514853021,3.1069194445433337,A 密集突破
SSVUSDT,11,-0.45545908100004573,-5.010049891000503,2.9947063023245932,0.2727272727272727,-8.004756193325097,,1268,13422241.37275,1.1221850390408752,-0.9447694334650857,-0.9687983578083057,-0.9669035212379599,0.3758617073153237,A 密集突破
DODOXUSDT,5,-1.0070748027047576,-5.035374013523788,-1.0057255570356018,0.4,-5.035374013523788,,1103,2867753.12542,1.1183303835274154,-0.8255113192818111,-0.9579184634714584,-0.9294368713813983,0.9181551142663521,A 密集突破
LQTYUSDT,5,-1.0071287368113158,-5.035643684056579,-1.005671756406822,0.4,-5.035643684056579,,1254,9116477.6461,1.0994632901524855,-0.9076748796374965,-0.9468310926918023,-0.9340948145153138,0.7667859705865465,A 密集突破
BATUSDT,5,-1.0108467202025195,-5.054233601012598,-1.0094895209580839,0.4,-5.054233601012598,,1322,6861760.31123,0.8221603787834777,-0.6631766805472933,-0.8495749202975558,-0.8495749202975558,0.2731437388222335,A 密集突破
KNCUSDT,13,-0.3956058042854495,-5.142875455710843,2.9857985973843113,0.46153846153846156,-8.128674053095155,,1322,6669821.777000001,0.9473071670411056,-0.7815991237677985,-0.9113856546084792,-0.9113856546084792,4.921352390124773,A 密集突破
LTCUSDT,9,-0.5841894088712148,-5.257704679840933,1.8202296431627436,0.4444444444444444,-7.077934323003677,,1322,196246848.8887,0.701481237927232,-0.3817720090293454,-0.7015034301561816,-0.6801926726025398,0.22180073436377185,A 密集突破
