family,label,sharpe,ret,maxdd,calmar,expo,trades,sharpe_is,sharpe_oos,ret_oos
SMA,C>SMA(140),0.1827834020203539,0.03798453795985424,-0.2539236013258085,0.056635325753787734,0.42077649527806926,16,0.5408108599361837,-0.6041539726887687,-0.1295467374753425
SMA,C>SMA(148),0.09535972886669597,-0.018149892126131495,-0.24649669730891777,-0.028360362703942966,0.40713536201469047,16,0.42229309984668595,-0.6081328017485872,-0.12996799597615816
SMA,C>SMA(156),-0.0840879846517132,-0.12715672660595168,-0.321373595367221,-0.15793002183024918,0.3987408184679958,16,0.19307985064230793,-0.7022089378656154,-0.1454008827221207
SMA,C>SMA(164),-0.03502856502976194,-0.10112565426662645,-0.30692265643342564,-0.13035890728457317,0.3945435466946485,15,0.06942578966398925,-0.2747726529882334,-0.0691607922690024
SMA,C>SMA(172),0.39532245241119657,0.19874469842441655,-0.21171955870871206,0.3395784675885352,0.391395592864638,10,0.6144623898773977,-0.06857662337829944,-0.03157701392833978
SMA,C>SMA(180),0.1623148844637566,0.02199095886241964,-0.25610656940983245,0.032666431440947746,0.385099685204617,14,0.3713013738287113,-0.29724202367341007,-0.07615133047261657
SMA,C>SMA(188),0.3217006140474889,0.14007726605630255,-0.29442603554613056,0.17488875307497345,0.38195173137460653,14,0.5709740756085845,-0.22011593056650938,-0.060686571372796094
SMA,C>SMA(196),0.34784225362240145,0.16092953515237052,-0.27920759214965685,0.21065519295321652,0.3861490031479538,12,0.6344310435549844,-0.2689553271662601,-0.0713004557359137
SMA,C>SMA(204),0.08467043994521137,-0.030035850595351632,-0.3272006473240163,-0.03548928498394347,0.3882476390346275,15,0.19672904782142425,-0.15761946363441776,-0.050052524064223114
SMA,C>SMA(212),0.057110653940485104,-0.052243784571326835,-0.34075064000938715,-0.05969562876221244,0.3934942287513116,12,0.055703849897398065,0.0658527239777836,-0.005720133012970363
SMA,C>SMA(220),0.24346637238702903,0.080290939996295,-0.30746337788356204,0.09764133736109758,0.3955928646379853,13,0.331708810571883,0.0658527239777836,-0.005720133012970363
EMAx,"EMA(10,60)",0.3566496618573227,0.17668046686562833,-0.3384039985034848,0.18999678914207416,0.4826862539349423,9,0.8636295520973316,-0.8907589261599614,-0.18772910510530716
EMAx,"EMA(10,100)",0.2421605417982613,0.078208599396276,-0.30587389801502785,0.09566117483934741,0.4826862539349423,5,0.4324105933879823,-0.1809753771830035,-0.056720574603880025
EMAx,"EMA(10,150)",-0.04260466575156827,-0.11729782171616543,-0.39277417613451304,-0.11880177804331349,0.43441762854144805,8,0.0493778218442141,-0.25982649393537355,-0.07011947208255898
EMAx,"EMA(10,200)",0.2105672842557287,0.053865237438235125,-0.29735490182728697,0.0682592880235098,0.4155299055613851,5,0.33373175248812786,-0.04952407612157541,-0.030982143073920665
EMAx,"EMA(20,60)",0.19232737757277119,0.032156631153770654,-0.37016577003250994,0.03294718171595521,0.4963273871983211,8,0.6417605945077601,-0.9702268611942992,-0.20025934298195736
EMAx,"EMA(20,100)",0.16428055126476832,0.01707968958130901,-0.35544774278858426,0.01830757153173996,0.4774396642182581,5,0.2676585224736005,-0.06674622493539577,-0.03314440744534697
EMAx,"EMA(20,150)",0.06261341799802772,-0.05528676146933398,-0.3551143750623986,-0.06067682582941809,0.43651626442812175,4,0.1608413795733178,-0.1601613286347729,-0.05325601289788673
EMAx,"EMA(20,200)",0.2867636498937125,0.11423800515552496,-0.26669049146208934,0.158609687331823,0.43441762854144805,5,0.4491035259318715,-0.07029675731881654,-0.03594402366106775
EMAx,"EMA(30,60)",0.1743251004291904,0.014463524830756969,-0.3417963858610734,0.016135392031915476,0.5057712486883525,7,0.6503984240802023,-1.029575406298755,-0.22034726264091675
EMAx,"EMA(30,100)",0.08765677579629395,-0.0467495069969035,-0.39735975254971223,-0.04572696169919173,0.4837355718782791,6,0.28938677360614273,-0.4104543653453608,-0.10217749909503848
EMAx,"EMA(30,150)",0.23805650656190755,0.07271518532127552,-0.3201218445148951,0.08511953891439349,0.4491080797481637,4,0.4129200416925181,-0.16189355257622287,-0.05460543537842366
EMAx,"EMA(30,200)",0.4352700368829802,0.2531731901493035,-0.25960039730331286,0.3477682282643977,0.46065057712486884,3,0.6928430786508885,-0.13966115657606873,-0.05180393725492982
EMAx,"EMA(50,60)",0.19807596458489754,0.033192911005259784,-0.3277786234313581,0.038394874646129507,0.5120671563483735,5,0.598537805150989,-0.7856923026015162,-0.18301080890125954
EMAx,"EMA(50,100)",0.005692503283036136,-0.10899061282991473,-0.35736629371115647,-0.12098489540532434,0.46379853095487933,4,0.07060546919363514,-0.1601613286347729,-0.05325601289788673
EMAx,"EMA(50,150)",0.26322854806573825,0.09244448041950482,-0.2882202289860101,0.11950596917093596,0.4858342077649528,4,0.4379353121551098,-0.13966115657606873,-0.05180393725492982
EMAx,"EMA(50,200)",0.4050309024486669,0.22920785562907642,-0.28099031808766717,0.29270584188037707,0.49422875131164745,2,0.8079443887420964,-0.5475987510462296,-0.13986168639978647
Donchian,DC(20)mid,0.27640866588636775,0.10302797525236262,-0.38959428767872883,0.09823271891291632,0.5225603357817419,51,0.5947938793350496,-0.37614796282845114,-0.12139248781753353
Donchian,DC(25)mid,0.14277346899103507,-0.01688914695635657,-0.44851850884232614,-0.014497895216766215,0.5257082896117523,49,0.4408733562951461,-0.5047342073229656,-0.1486739103591308
Donchian,DC(30)mid,0.21581255247261583,0.04878991413721434,-0.3942918215019817,0.046697627544214075,0.521511017838405,46,0.6705829894680677,-0.8282972596905164,-0.20225382343319054
Donchian,DC(35)mid,0.6491524114519795,0.5069985422585166,-0.3245164649354241,0.5241181594771396,0.5152151101783841,37,1.1253680272653952,-0.4213232344304864,-0.11733010567914404
Donchian,DC(40)mid,0.6631064711282809,0.5246640915857415,-0.3108414223341296,0.5640155231875629,0.5194123819517313,34,1.074993397741097,-0.2504591540541041,-0.08097500781005651
Donchian,DC(45)mid,0.5245103459678021,0.35666728483723675,-0.3050449963735319,0.4062524020104833,0.5141657922350472,26,0.9397527443470961,-0.4245178188398867,-0.11600333211266078
Donchian,DC(50)mid,0.37738165904388304,0.20001883798467035,-0.33514444279122,0.2158222211018302,0.5068205666316894,27,0.7909734013905031,-0.6207477889408031,-0.14979699780738243
Donchian,DC(55)mid,0.5275072272245038,0.3589153425161258,-0.3227310524420215,0.38619834083270865,0.49527806925498424,25,0.95644410142986,-0.5311985357454401,-0.12606079412260907
Donchian,DC(60)mid,0.34396659122054096,0.16604926844070733,-0.331470720682027,0.18282909399378605,0.4910807974816369,22,0.5512260884208686,-0.14369835809154266,-0.049944831171163884
Donchian,DC(65)mid,0.2668024741034367,0.09591037382913226,-0.33694419378618523,0.10595159130607328,0.4931794333683106,21,0.6256162017048333,-0.6345037434667505,-0.14202090245239563
Donchian,DC(70)mid,0.17301037795424057,0.01763225553405845,-0.34367477019700376,0.01954401058401573,0.48163693599160545,21,0.44993110240527484,-0.5372816511340999,-0.12177935192081735
Donchian,DC(75)mid,0.20377726374594904,0.04409548651819106,-0.36716409179809306,0.04538619793480684,0.47429171038824763,22,0.5287975394663837,-0.6648469115088974,-0.13652119059350376
Donchian,DC(80)mid,-0.08482001791999053,-0.1518707263514264,-0.44037144302554543,-0.13883707063592382,0.4700944386149003,24,0.16537769077917325,-0.7612843567448847,-0.15045510323631328
Donchian,DC(85)mid,-0.02180653641176739,-0.11287046035681603,-0.37644760108640063,-0.11909684241116666,0.47114375655823715,21,0.298389056073087,-0.871444038312651,-0.16947812813591157
Donchian,DC(90)mid,0.17067281740082624,0.021690792220099064,-0.30422896982529035,0.02712643028121353,0.47429171038824763,18,0.4904632722110611,-0.6679425001347395,-0.13404330235872164
Donchian,DC(95)mid,0.11771175713370885,-0.01698308786891012,-0.3135143922555297,-0.020856889408540014,0.47848898216159497,18,0.5949699933915302,-1.107427792536195,-0.2094292932876427
Donchian,DC(100)mid,0.1460882557287092,0.004266427923130589,-0.2873870750674923,0.005678406331551795,0.4690451206715635,18,0.5652894004248261,-0.9044738097709433,-0.17934054651593567
Donchian,DC(105)mid,0.21811364538547084,0.059554199882568604,-0.2909018500863405,0.077012942427518,0.4648478488982162,17,0.6393924736293444,-0.8189663053018025,-0.16462824900870743
Donchian,DC(110)mid,0.08654748090781489,-0.036656545170796306,-0.3029231556638595,-0.04688144548140842,0.45855194123819515,17,0.5303422675083088,-1.0198948925738565,-0.19723221107240696
Donchian,DC(115)mid,-0.07295209013478024,-0.14510608941918024,-0.3716682111861762,-0.15680351135749004,0.4616998950682057,15,0.4085928763469318,-1.2209823719844908,-0.24303349736906577
Donchian,DC(120)mid,-0.08577616617488994,-0.1536933033974186,-0.37751337065612534,-0.16400245223408372,0.459601259181532,18,0.3185496185754795,-1.053337768818132,-0.21609810593440948
ROC,ROC(10)>0,0.30619449366945706,0.13124318608336694,-0.36366452871678434,0.13299000848434706,0.5141657922350472,74,0.8527424350991126,-0.7631011735754044,-0.21356215680152613
