symbol,笔数,胜率,期望R,总R,多/空,止损宽度,币价涨跌,日均成交额,年化波动,rule
BICOUSDT,5,0.4,0.5873782364732623,2.9368911823663115,1/4,0.09878682952166393,-0.9025272161741835,3837992.96345,1.347130708386574,B 回踩20均线
BIGTIMEUSDT,3,0.3333333333333333,0.2959692023431478,0.8879076070294434,1/2,0.07311465465987137,-0.980874857360213,17008409.20025,1.371957715295625,B 回踩20均线
BLURUSDT,9,0.2222222222222222,-0.29593071656323167,-2.663376449069085,3/6,0.07688492171180551,-0.980911598200029,16195241.6773,1.0863371744207024,B 回踩20均线
BNTUSDT,6,0.3333333333333333,0.2582073237689101,1.5492439426134605,3/3,0.02905835225878383,-0.5824442289039768,2526440.66745,0.8392767414797341,B 回踩20均线
BOMEUSDT,3,0.3333333333333333,0.271548527924024,0.8146455837720721,1/2,0.07359705719135241,-0.9619967329681944,37562816.4982405,1.307288362735259,B 回踩20均线
BSVUSDT,6,0.5,0.9598357993421538,5.759014796052923,1/5,0.03835460838785393,-0.7243636363636363,5391179.2285,0.9294581712448093,B 回踩20均线
C98USDT,6,0.5,0.9758748096066401,5.8552488576398405,3/3,0.09730193681228891,-0.9129861982434128,8643650.043699998,1.0340867379459555,B 回踩20均线
CAKEUSDT,5,0.0,-1.020330106024545,-5.1016505301227255,3/2,0.07173375416370605,-0.08784604564925513,17855764.4903,0.9883729574463703,B 回踩20均线
CELOUSDT,4,0.5,0.9796930212598783,3.9187720850395134,1/3,0.05707462988548671,-0.8747708333333333,19703711.08915,0.9525043504868691,B 回踩20均线
CELRUSDT,5,0.2,-0.2286206400787023,-1.1431032003935115,3/2,0.10000000110000015,-0.7924843423799582,5135933.90803,0.9479899647531008,B 回踩20均线
CFXUSDT,9,0.3333333333333333,0.40927439196667287,3.6834695277000558,3/6,0.05844683067872287,-0.8687404229236899,36254900.46523,1.2789576943767922,B 回踩20均线
CHRUSDT,4,0.25,-0.015134339558056376,-0.0605373582322255,2/2,0.08856392383431683,-0.8734463276836159,7895830.827199999,0.9867897633834918,B 回踩20均线
CHZUSDT,7,0.2857142857142857,0.11267960236680073,0.7887572165676051,4/3,0.057838180577433715,-0.8757911392405063,23834080.98032,0.8655338410513977,B 回踩20均线
CKBUSDT,4,0.25,-0.02506312138592809,-0.10025248554371236,1/3,0.05216846339683005,-0.8447977422389463,5686566.66447,1.13059448560217,B 回踩20均线
COMPUSDT,7,0.2857142857142857,-0.14110692358120072,-0.987748465068405,2/5,0.031184057303165303,-0.488261421319797,16433391.868250001,0.9050015670262898,B 回踩20均线
COTIUSDT,6,0.5,0.9742410884082428,5.845446530449457,2/4,0.06645760883074056,-0.7940971550222566,9108185.824275,1.209269926479031,B 回踩20均线
CRVUSDT,6,0.5,0.9677181767807603,5.806309060684562,3/3,0.04826393758822886,-0.547438330170778,87579971.91119999,1.0029087036498416,B 回踩20均线
CTSIUSDT,7,0.14285714285714285,-0.4613041608357437,-3.229129125850206,3/4,0.05776340205129399,-0.7607992388201713,6296502.524,1.1231659326834504,B 回踩20均线
CYBERUSDT,5,0.2,-0.24357847969231164,-1.2178923984615582,2/3,0.030973452358407236,-0.9394521668029436,8440424.78865,1.256292342533432,B 回踩20均线
