tf,n,mode,band,sharpe_full,ret_full,dd_full,trades,expo,sharpe_is,ret_is,dd_is,sharpe_oos,ret_oos,dd_oos
1h,24,ls,0.02,-1.5736715225428886,-0.8956667516048827,-0.9097686070613611,1354,0.9989085352543113,-1.7911060365833185,-0.7951504591823139,-0.8232528990021233,-1.2348337491817323,-0.4906835134769817,-0.5495929179219046
1h,24,ls,0.04,-1.5761562001919323,-0.8958915748683658,-0.9083074993587353,1114,0.9989085352543113,-1.4412255920272348,-0.731250532813309,-0.7732326947835305,-1.8207463687272318,-0.6126190454572567,-0.6574028033395378
1h,24,ls,0.06,-1.3166367452268835,-0.8559112644607487,-0.8782977326223522,932,0.9989085352543113,-1.3813715928865078,-0.7181789175051561,-0.7631899639815836,-1.2271359308527463,-0.48872265245845714,-0.5624102755456252
1h,24,long_only,0.0,-1.5348613210667728,-0.7551705036026194,-0.7932429739162083,932,0.5204540493342065,-1.1959401988729879,-0.5139537570881649,-0.5991157752085756,-2.1706233513280315,-0.496283532754745,-0.5559670389013115
1h,24,long_only,0.02,-0.7666843989716849,-0.5345485943856203,-0.6473286383793322,677,0.5192752674088627,-0.2582012016699711,-0.20210220046002458,-0.4288950542043981,-1.6750700118210946,-0.41665285217889747,-0.4842726793677623
1h,24,long_only,0.04,-0.7676461570375627,-0.5351771803053562,-0.6666850889976275,557,0.5227242960052391,0.0014940662720666627,-0.08648711977237122,-0.4103441306149789,-2.138781490103253,-0.4911699333907388,-0.550137450337475
1h,24,long_only,0.06,-0.5731873348007815,-0.4528485525987126,-0.6035360990999251,466,0.5230735647238595,0.04676465423778339,-0.06398317782399421,-0.3910638942961364,-1.672449751390394,-0.4154469936455847,-0.48115585228138547
1h,26,ls,0.0,-1.6968489064741201,-0.9105209140014304,-0.9210245556425278,1752,0.9987775594848286,-1.2569412252379382,-0.6899011146324318,-0.7433713839931628,-2.4457680278532936,-0.7114498302936254,-0.7410231134989205
1h,26,ls,0.02,-0.9733516485085257,-0.7791642507633045,-0.8050873985652681,1230,0.9988212180746562,-0.6077916269764788,-0.48767257580010126,-0.5931988923974223,-1.5905867197247145,-0.5689558301869663,-0.609741633601983
1h,26,ls,0.04,-0.8962121155385521,-0.7566589804005857,-0.7941430714181967,998,0.9988212180746562,-0.56028239841602,-0.46829606985327243,-0.5689703360880007,-1.463499590830528,-0.54233736897099,-0.5878705591948983
1h,26,ls,0.06,-0.9852897954844928,-0.7822453607259958,-0.8272823921966613,820,0.9988212180746562,-0.8624641641337084,-0.57907364345438,-0.6702637943899366,-1.201512513454146,-0.48267758507443026,-0.5552067565501508
1h,26,long_only,0.0,-0.8633711201005808,-0.5686240344910475,-0.7045867953768203,876,0.5232918576729971,0.12953298679196004,-0.023107215515855373,-0.42074752668149673,-2.655322610559444,-0.5584203585486154,-0.6066951267599483
1h,26,long_only,0.02,-0.31906565493878214,-0.3259999653001132,-0.6012805860659256,615,0.5230299061340319,0.6061069868828557,0.25424144839829577,-0.3660718879680003,-1.9869092198485956,-0.46262337641560236,-0.519283936669654
1h,26,long_only,0.04,-0.2598679654826738,-0.29309145321685526,-0.6006495116818369,499,0.5230735647238595,0.6421016993581051,0.27792289927116,-0.3540983437235157,-1.8624663541943185,-0.4468300496169847,-0.5073728145974981
1h,26,long_only,0.06,-0.3296622815947395,-0.32977017499181016,-0.6196400199477008,410,0.5237284435712727,0.4246558827831594,0.13946324544055777,-0.45166899199833477,-1.6591472873221838,-0.41180215536565623,-0.4739711134764767
